"","Extract_ID","diet_ID","abundance","presence"
"1","HEV100","Neoptera",2,1
"2","HEV100","Scholastes lonchifer",43,1
"3","HEV101","Neoptera",15,1
"4","HEV103","Ectobiidae",8,1
"5","HEV103","Littorophiloscia bifasciata",2,1
"6","HEV103","Neoptera",3,1
"7","HEV104","Limonia perkinsi",5,1
"8","HEV104","Scholastes lonchifer",1953,1
"9","HEV105","Anchiphiloscia pilosa",1,1
"10","HEV105","Ectobiidae",126,1
"11","HEV105","Hasarius adansoni",2,1
"12","HEV105","Isometrus maculatus",1,1
"13","HEV105","Ornebius novarae",3,1
"14","HEV105","Phisis holdhausi",9,1
"15","HEV106","Anisolabis maritima",1,1
"16","HEV106","Buthus mariefranceae",6,1
"17","HEV107","Isometrus maculatus",2,1
"18","HEV107","Neoptera",11,1
"19","HEV107","Ornebius novarae",4,1
"20","HEV108","Ectobiidae",11,1
"21","HEV108","Isometrus maculatus",3,1
"22","HEV108","Neoptera",15,1
"23","HEV108","Scholastes lonchifer",4053,1
"24","HEV109","Tygarrup javanicus",36,1
"25","HEV110","Isometrus maculatus",7,1
"26","HEV110","Scholastes lonchifer",1,1
"27","HEV111","Ectobiidae",1,1
"28","HEV111","Isometrus maculatus",1,1
"29","HEV65","Neoptera",12,1
"30","HEV66","Acrididae",1,1
"31","HEV67","Anisolabis maritima",1,1
"32","HEV68","Blattodea",1,1
"33","HEV70","Scholastes lonchifer",6,1
"34","HEV71","Periplaneta australasiae",356,1
"35","HEV76","Blattodea",98,1
"36","HEV76","Neoptera",20,1
"37","HEV76","Ornebius novarae",20,1
"38","HEV79","Nematocera",10,1
"39","HEV81","Blattodea",4,1
"40","HEV81","Ectobiidae",6,1
"41","HEV81","Hasarius adansoni",83,1
"42","HEV81","Ornebius novarae",1,1
"43","HEV81","Pycnoscelus surinamensis",290,1
"44","HEV83","Periplaneta australasiae",5,1
"45","HEV87","Neoptera",54,1
"46","HEV88","Scholastes lonchifer",1,1
"47","HEV89","Phisis holdhausi",4,1
"48","HEV90","Pantala flavescens",3,1
"49","HEV91","Isometrus maculatus",1,1
"50","HEV91","Pholcus guadarfia",6,1
"51","HEV91","Scholastes lonchifer",1,1
"52","HEV92","Anisolabis maritima",2182,1
"53","HEV92","Ectobiidae",1,1
"54","HEV92","Hasarius adansoni",374,1
"55","HEV92","Pycnoscelus",274,1
"56","HEV93","Anisolabis maritima",3,1
"57","HEV93","Phisis holdhausi",16,1
"58","HEV93","Tygarrup javanicus",16,1
"59","HEV94","Isometrus maculatus",3,1
"60","HEV94","Neoptera",2,1
"61","HEV95","Anisolabis maritima",23,1
"62","HEV95","Neoptera",4,1
"63","HEV95","Orthocladiinae",4,1
"64","HEV96","Anisolabis maritima",75,1
"65","HEV96","Neoptera",34,1
"66","HEV96","Scholastes lonchifer",58,1
"67","HEV96","Tygarrup javanicus",16,1
"68","HEV98","Anchiphiloscia pilosa",2,1
"69","HEV98","Neoptera",35,1
"70","HEV98","Periplaneta australasiae",112,1
"71","HEV98","Phisis holdhausi",11,1
"72","HEV98","Scholastes lonchifer",1,1
"73","HEV98","Xiphydria",6,1
